
 [10:44:09,214] COM_Init: SDK_Ver V4.1.16.
 [15:57:30,184] SDK call funcLinkDownCallBack Psn=AGA25530A574
 [15:57:30,185] SDK call funcLinkDownExCallBack Psn=AGA25530A574
 [15:57:33,180] SDK call funcLinkUpExCallBack Psn=AGA25530A574
 [15:57:33,609] COM_SetFPType: 4343

 [15:57:33,609] SDK call ComApiPrepareRcvImgInfo command 

 [15:57:33,657] SDK call funcLinkUpCallBack Psn=AGA25530A574
 [16:01:40,106] SDK call COM_Close command

 [16:01:40,106] SDK call detach
 [16:01:41,530] register Event Callback:20

 [16:01:41,530] SDK call COM_Close command

 [16:01:41,530] SDK call detach
